,Clarity,D,E,F,G,H,I,J,K,L,M,Cut,Polish,Symmetry,Fluo,Size
1534,VVS1,-76,-76,-76,-76,-76,-76,-76,-76,-76,-76,GD,DD,DD,Very Strong,0.90-0.94
1535,VVS2,-76,-76,-76,-76,-76,-76,-76,-76,-76,-76,GD,DD,DD,Very Strong,0.90-0.94
1536,VS1,-76,-76,-76,-76,-76,-76,-76,-76,-76,-76,GD,DD,DD,Very Strong,0.90-0.94
1537,VS2,-76,-76,-76,-76,-76,-76,-76,-76,-76,-76,GD,DD,DD,Very Strong,0.90-0.94
1538,SI1,-76,-76,-76,-76,-76,-76,-76,-76,-76,-76,GD,DD,DD,Very Strong,0.90-0.94
1539,SI2,-76,-76,-76,-76,-76,-76,-76,-76,-76,-76,GD,DD,DD,Very Strong,0.90-0.94
1540,IF,-20,-20,-18,-28,-26,-19,-18,-20,-21,-22,EX,EX,EX,None,0.95-0.99
1541,VVS1,-24,-19,-20,-24,-24,-20,-17,-20,-23,-25,EX,EX,EX,None,0.95-0.99
1542,VVS2,-24,-23,-21,-24,-23,-20,-20,-19,-23,-24,EX,EX,EX,None,0.95-0.99
1543,VS1,-24,-21,-18,-20,-20,-19,-18,-20,-21,-22,EX,EX,EX,None,0.95-0.99
1544,VS2,-16,-15,-21,-20,-24,-21,-24,-21,-20,-24,EX,EX,EX,None,0.95-0.99
1545,SI1,-18,-17,-21,-18,-20,-22,-23,-20,-22,-24,EX,EX,EX,None,0.95-0.99
1546,SI2,-24,-20,-20,-20,-21,-22,-20,-20,-21,-26,EX,EX,EX,None,0.95-0.99
1547,IF,-29,-29,-26,-35,-33,-25,-23,-25,-26,-27,EX,EX,EX,Faint,0.95-0.99
1548,VVS1,-33,-28,-28,-31,-31,-26,-22,-25,-28,-30,EX,EX,EX,Faint,0.95-0.99
1549,VVS2,-33,-32,-29,-31,-30,-26,-25,-24,-28,-29,EX,EX,EX,Faint,0.95-0.99
1550,VS1,-32,-28,-25,-26,-26,-24,-23,-25,-26,-27,EX,EX,EX,Faint,0.95-0.99
1551,VS2,-24,-22,-28,-26,-30,-26,-29,-26,-25,-29,EX,EX,EX,Faint,0.95-0.99
1552,SI1,-25,-24,-28,-24,-25,-27,-28,-25,-27,-29,EX,EX,EX,Faint,0.95-0.99
1553,SI2,-31,-27,-27,-26,-26,-27,-25,-25,-26,-31,EX,EX,EX,Faint,0.95-0.99
1554,IF,-40,-40,-37,-47,-44,-37,-35,-36,-37,-38,EX,EX,EX,Med,0.95-0.99
1555,VVS1,-44,-39,-39,-43,-42,-38,-34,-36,-39,-41,EX,EX,EX,Med,0.95-0.99
1556,VVS2,-44,-43,-40,-43,-41,-38,-37,-35,-39,-40,EX,EX,EX,Med,0.95-0.99
1557,VS1,-44,-41,-37,-39,-38,-37,-35,-36,-37,-38,EX,EX,EX,Med,0.95-0.99
1558,VS2,-36,-35,-40,-39,-42,-39,-41,-37,-36,-40,EX,EX,EX,Med,0.95-0.99
1559,SI1,-38,-37,-40,-37,-38,-40,-40,-36,-38,-40,EX,EX,EX,Med,0.95-0.99
1560,SI2,-44,-40,-39,-39,-39,-40,-37,-36,-37,-42,EX,EX,EX,Med,0.95-0.99
1561,IF,-45,-45,-43,-52,-49,-41,-39,-40,-41,-42,EX,EX,EX,Strong,0.95-0.99
1562,VVS1,-49,-44,-45,-48,-47,-42,-38,-40,-43,-45,EX,EX,EX,Strong,0.95-0.99
1563,VVS2,-49,-48,-46,-48,-46,-42,-41,-39,-43,-44,EX,EX,EX,Strong,0.95-0.99
1564,VS1,-49,-46,-42,-43,-42,-40,-38,-39,-40,-41,EX,EX,EX,Strong,0.95-0.99
1565,VS2,-41,-40,-45,-43,-46,-42,-44,-40,-39,-43,EX,EX,EX,Strong,0.95-0.99
1566,SI1,-43,-42,-45,-41,-42,-42,-42,-38,-40,-42,EX,EX,EX,Strong,0.95-0.99
1567,SI2,-49,-45,-44,-43,-43,-42,-39,-38,-39,-44,EX,EX,EX,Strong,0.95-0.99
1568,IF,-50,-50,-48,-57,-54,-46,-44,-45,-46,-47,EX,EX,EX,Very Strong,0.95-0.99
1569,VVS1,-54,-49,-50,-53,-52,-47,-43,-45,-48,-50,EX,EX,EX,Very Strong,0.95-0.99
1570,VVS2,-54,-53,-51,-53,-51,-47,-46,-44,-48,-49,EX,EX,EX,Very Strong,0.95-0.99
1571,VS1,-54,-51,-47,-48,-47,-45,-43,-44,-45,-46,EX,EX,EX,Very Strong,0.95-0.99
1572,VS2,-46,-45,-50,-48,-51,-47,-49,-45,-44,-48,EX,EX,EX,Very Strong,0.95-0.99
1573,SI1,-48,-47,-50,-46,-47,-47,-47,-43,-45,-47,EX,EX,EX,Very Strong,0.95-0.99
1574,SI2,-54,-50,-49,-48,-48,-47,-44,-43,-44,-49,EX,EX,EX,Very Strong,0.95-0.99
1575,IF,-52,-52,-50,-58,-55,-47,-44,-45,-46,-47,EX,DD,DD,Strong,0.95-0.99
1576,VVS1,-56,-51,-52,-54,-53,-48,-43,-45,-48,-50,EX,DD,DD,Strong,0.95-0.99
1577,VVS2,-56,-55,-53,-54,-52,-48,-46,-44,-48,-49,EX,DD,DD,Strong,0.95-0.99
1578,VS1,-56,-53,-49,-48,-47,-45,-43,-44,-45,-46,EX,DD,DD,Strong,0.95-0.99
1579,VS2,-48,-47,-52,-48,-51,-47,-49,-45,-44,-48,EX,DD,DD,Strong,0.95-0.99
1580,SI1,-50,-49,-52,-46,-46,-46,-46,-41,-43,-45,EX,DD,DD,Strong,0.95-0.99
1581,SI2,-56,-52,-51,-48,-47,-46,-43,-41,-42,-47,EX,DD,DD,Strong,0.95-0.99
1582,IF,-27,-27,-25,-34,-32,-25,-23,-25,-26,-27,EX,DD,DD,None,0.95-0.99
1583,VVS1,-31,-26,-27,-30,-30,-26,-22,-25,-28,-30,EX,DD,DD,None,0.95-0.99
1584,VVS2,-31,-30,-28,-30,-29,-26,-25,-24,-28,-29,EX,DD,DD,None,0.95-0.99
1585,VS1,-31,-28,-25,-25,-25,-24,-23,-25,-26,-27,EX,DD,DD,None,0.95-0.99
1586,VS2,-23,-22,-28,-25,-29,-26,-29,-26,-25,-29,EX,DD,DD,None,0.95-0.99
1587,SI1,-25,-24,-28,-23,-24,-26,-27,-23,-25,-27,EX,DD,DD,None,0.95-0.99
1588,SI2,-31,-27,-27,-25,-25,-26,-24,-23,-24,-29,EX,DD,DD,None,0.95-0.99
1589,IF,-36,-36,-33,-41,-39,-31,-28,-30,-31,-32,EX,DD,DD,Faint,0.95-0.99
1590,VVS1,-40,-35,-35,-37,-37,-32,-27,-30,-33,-35,EX,DD,DD,Faint,0.95-0.99
1591,VVS2,-40,-39,-36,-37,-36,-32,-30,-29,-33,-34,EX,DD,DD,Faint,0.95-0.99
1592,VS1,-39,-35,-32,-31,-31,-29,-28,-30,-31,-32,EX,DD,DD,Faint,0.95-0.99
1593,VS2,-31,-29,-35,-31,-35,-31,-34,-31,-30,-34,EX,DD,DD,Faint,0.95-0.99
1594,SI1,-32,-31,-35,-29,-29,-31,-32,-28,-30,-32,EX,DD,DD,Faint,0.95-0.99
1595,SI2,-38,-34,-34,-31,-30,-31,-29,-28,-29,-34,EX,DD,DD,Faint,0.95-0.99
1596,IF,-47,-47,-44,-53,-50,-43,-40,-41,-42,-43,EX,DD,DD,Med,0.95-0.99
1597,VVS1,-51,-46,-46,-49,-48,-44,-39,-41,-44,-46,EX,DD,DD,Med,0.95-0.99
1598,VVS2,-51,-50,-47,-49,-47,-44,-42,-40,-44,-45,EX,DD,DD,Med,0.95-0.99
1599,VS1,-51,-48,-44,-44,-43,-42,-40,-41,-42,-43,EX,DD,DD,Med,0.95-0.99
1600,VS2,-43,-42,-47,-44,-47,-44,-46,-42,-41,-45,EX,DD,DD,Med,0.95-0.99
1601,SI1,-45,-44,-47,-42,-42,-44,-44,-39,-41,-43,EX,DD,DD,Med,0.95-0.99
1602,SI2,-51,-47,-46,-44,-43,-44,-41,-39,-40,-45,EX,DD,DD,Med,0.95-0.99
1603,IF,-57,-57,-55,-63,-60,-52,-49,-50,-51,-52,EX,DD,DD,Very Strong,0.95-0.99
1604,VVS1,-61,-56,-57,-59,-58,-53,-48,-50,-53,-55,EX,DD,DD,Very Strong,0.95-0.99
1605,VVS2,-61,-60,-58,-59,-57,-53,-51,-49,-53,-54,EX,DD,DD,Very Strong,0.95-0.99
1606,VS1,-61,-58,-54,-53,-52,-50,-48,-49,-50,-51,EX,DD,DD,Very Strong,0.95-0.99
1607,VS2,-53,-52,-57,-53,-56,-52,-54,-50,-49,-53,EX,DD,DD,Very Strong,0.95-0.99
1608,SI1,-55,-54,-57,-51,-51,-51,-51,-46,-48,-50,EX,DD,DD,Very Strong,0.95-0.99
1609,SI2,-61,-57,-56,-53,-52,-51,-48,-46,-47,-52,EX,DD,DD,Very Strong,0.95-0.99
1610,IF,-36,-36,-34,-43,-41,-34,-32,-33,-34,-35,VG,DD,DD,None,0.95-0.99
1611,VVS1,-40,-35,-36,-39,-39,-35,-31,-33,-36,-38,VG,DD,DD,None,0.95-0.99
1612,VVS2,-40,-39,-37,-39,-38,-35,-34,-32,-36,-37,VG,DD,DD,None,0.95-0.99
1613,VS1,-40,-37,-33,-34,-34,-33,-31,-31,-32,-33,VG,DD,DD,None,0.95-0.99
1614,VS2,-32,-31,-36,-34,-38,-35,-37,-32,-31,-35,VG,DD,DD,None,0.95-0.99
1615,SI1,-34,-33,-36,-32,-33,-35,-35,-30,-32,-34,VG,DD,DD,None,0.95-0.99
1616,SI2,-40,-36,-35,-34,-34,-35,-32,-30,-31,-36,VG,DD,DD,None,0.95-0.99
1617,IF,-45,-45,-42,-50,-48,-40,-37,-38,-39,-40,VG,DD,DD,Faint,0.95-0.99
1618,VVS1,-49,-44,-44,-46,-46,-41,-36,-38,-41,-43,VG,DD,DD,Faint,0.95-0.99
1619,VVS2,-49,-48,-45,-46,-45,-41,-39,-37,-41,-42,VG,DD,DD,Faint,0.95-0.99
1620,VS1,-48,-44,-40,-40,-40,-38,-36,-36,-37,-38,VG,DD,DD,Faint,0.95-0.99
1621,VS2,-40,-38,-43,-40,-44,-40,-42,-37,-36,-40,VG,DD,DD,Faint,0.95-0.99
1622,SI1,-41,-40,-43,-38,-38,-40,-40,-35,-37,-39,VG,DD,DD,Faint,0.95-0.99
1623,SI2,-47,-43,-42,-40,-39,-40,-37,-35,-36,-41,VG,DD,DD,Faint,0.95-0.99
1624,IF,-56,-56,-53,-62,-59,-52,-49,-49,-50,-51,VG,DD,DD,Med,0.95-0.99
1625,VVS1,-60,-55,-55,-58,-57,-53,-48,-49,-52,-54,VG,DD,DD,Med,0.95-0.99
1626,VVS2,-60,-59,-56,-58,-56,-53,-51,-48,-52,-53,VG,DD,DD,Med,0.95-0.99
1627,VS1,-60,-57,-52,-53,-52,-51,-48,-47,-48,-49,VG,DD,DD,Med,0.95-0.99
1628,VS2,-52,-51,-55,-53,-56,-53,-54,-48,-47,-51,VG,DD,DD,Med,0.95-0.99
1629,SI1,-54,-53,-55,-51,-51,-53,-52,-46,-48,-50,VG,DD,DD,Med,0.95-0.99
1630,SI2,-60,-56,-54,-53,-52,-53,-49,-46,-47,-52,VG,DD,DD,Med,0.95-0.99
1631,IF,-61,-61,-59,-67,-64,-56,-53,-53,-54,-55,VG,DD,DD,Strong,0.95-0.99
1632,VVS1,-65,-60,-61,-63,-62,-57,-52,-53,-56,-58,VG,DD,DD,Strong,0.95-0.99
1633,VVS2,-65,-64,-62,-63,-61,-57,-55,-52,-56,-57,VG,DD,DD,Strong,0.95-0.99
1634,VS1,-65,-62,-57,-57,-56,-54,-51,-50,-51,-52,VG,DD,DD,Strong,0.95-0.99
1635,VS2,-57,-56,-60,-57,-60,-56,-57,-51,-50,-54,VG,DD,DD,Strong,0.95-0.99
1636,SI1,-59,-58,-60,-55,-55,-55,-54,-48,-50,-52,VG,DD,DD,Strong,0.95-0.99
1637,SI2,-65,-61,-59,-57,-56,-55,-51,-48,-49,-54,VG,DD,DD,Strong,0.95-0.99
1638,IF,-66,-66,-64,-72,-69,-61,-58,-58,-59,-60,VG,DD,DD,Very Strong,0.95-0.99
1639,VVS1,-70,-65,-66,-68,-67,-62,-57,-58,-61,-63,VG,DD,DD,Very Strong,0.95-0.99
1640,VVS2,-70,-69,-67,-68,-66,-62,-60,-57,-61,-62,VG,DD,DD,Very Strong,0.95-0.99
1641,VS1,-70,-67,-62,-62,-61,-59,-56,-55,-56,-57,VG,DD,DD,Very Strong,0.95-0.99
1642,VS2,-62,-61,-65,-62,-65,-61,-62,-56,-55,-59,VG,DD,DD,Very Strong,0.95-0.99
1643,SI1,-64,-63,-65,-60,-60,-60,-59,-53,-55,-57,VG,DD,DD,Very Strong,0.95-0.99
1644,SI2,-70,-66,-64,-62,-61,-60,-56,-53,-54,-59,VG,DD,DD,Very Strong,0.95-0.99
1645,IF,-57,-56,-54,-64,-60,-52,-50,-51,-52,-53,GD,DD,DD,None,0.95-0.99
1646,VVS1,-61,-55,-56,-60,-58,-53,-49,-51,-54,-56,GD,DD,DD,None,0.95-0.99
1647,VVS2,-61,-59,-57,-60,-57,-53,-52,-50,-54,-55,GD,DD,DD,None,0.95-0.99
1648,VS1,-61,-57,-54,-56,-54,-52,-50,-51,-52,-53,GD,DD,DD,None,0.95-0.99
1649,VS2,-53,-51,-57,-56,-58,-54,-56,-52,-51,-55,GD,DD,DD,None,0.95-0.99
1650,SI1,-55,-53,-57,-54,-54,-55,-54,-50,-52,-54,GD,DD,DD,None,0.95-0.99
1651,SI2,-61,-56,-56,-56,-55,-55,-51,-50,-51,-56,GD,DD,DD,None,0.95-0.99
1652,IF,-63,-62,-59,-67,-65,-57,-54,-55,-56,-57,GD,DD,DD,Faint,0.95-0.99
1653,VVS1,-67,-61,-61,-65,-63,-58,-53,-55,-58,-60,GD,DD,DD,Faint,0.95-0.99
1654,VVS2,-67,-65,-62,-65,-62,-58,-56,-54,-58,-59,GD,DD,DD,Faint,0.95-0.99
1655,VS1,-67,-62,-59,-61,-59,-57,-54,-54,-55,-56,GD,DD,DD,Faint,0.95-0.99
1656,VS2,-59,-56,-62,-61,-63,-59,-60,-55,-54,-58,GD,DD,DD,Faint,0.95-0.99
1657,SI1,-60,-58,-62,-59,-59,-60,-58,-53,-55,-57,GD,DD,DD,Faint,0.95-0.99
1658,SI2,-66,-61,-61,-61,-60,-60,-55,-53,-54,-59,GD,DD,DD,Faint,0.95-0.99
1659,IF,-69,-69,-69,-69,-69,-65,-61,-61,-62,-63,GD,DD,DD,Med,0.95-0.99
1660,VVS1,-69,-69,-69,-69,-69,-66,-60,-61,-64,-66,GD,DD,DD,Med,0.95-0.99
1661,VVS2,-69,-69,-69,-69,-69,-66,-63,-60,-64,-65,GD,DD,DD,Med,0.95-0.99
1662,VS1,-69,-69,-69,-69,-67,-65,-60,-60,-61,-62,GD,DD,DD,Med,0.95-0.99
1663,VS2,-68,-66,-69,-69,-69,-67,-66,-61,-60,-64,GD,DD,DD,Med,0.95-0.99
1664,SI1,-69,-68,-69,-68,-67,-67,-64,-59,-61,-63,GD,DD,DD,Med,0.95-0.99
1665,SI2,-69,-69,-69,-69,-68,-67,-61,-59,-60,-65,GD,DD,DD,Med,0.95-0.99
1666,IF,-71,-71,-71,-71,-71,-71,-71,-70,-71,-71,GD,DD,DD,Strong,0.95-0.99
1667,VVS1,-71,-71,-71,-71,-71,-71,-70,-70,-71,-71,GD,DD,DD,Strong,0.95-0.99
1668,VVS2,-71,-71,-71,-71,-71,-71,-71,-69,-71,-71,GD,DD,DD,Strong,0.95-0.99
1669,VS1,-71,-71,-71,-71,-71,-71,-69,-68,-69,-70,GD,DD,DD,Strong,0.95-0.99
1670,VS2,-71,-71,-71,-71,-71,-71,-71,-69,-68,-71,GD,DD,DD,Strong,0.95-0.99
1671,SI1,-71,-71,-71,-71,-71,-71,-71,-66,-68,-70,GD,DD,DD,Strong,0.95-0.99
1672,SI2,-71,-71,-71,-71,-71,-71,-69,-66,-67,-71,GD,DD,DD,Strong,0.95-0.99
1673,IF,-76,-76,-76,-76,-76,-76,-76,-75,-76,-76,GD,DD,DD,Very Strong,0.95-0.99
1674,VVS1,-76,-76,-76,-76,-76,-76,-75,-75,-76,-76,GD,DD,DD,Very Strong,0.95-0.99
1675,VVS2,-76,-76,-76,-76,-76,-76,-76,-74,-76,-76,GD,DD,DD,Very Strong,0.95-0.99
1676,VS1,-76,-76,-76,-76,-76,-76,-74,-73,-74,-75,GD,DD,DD,Very Strong,0.95-0.99
1677,VS2,-76,-76,-76,-76,-76,-76,-76,-74,-73,-76,GD,DD,DD,Very Strong,0.95-0.99
1678,SI1,-76,-76,-76,-76,-76,-76,-76,-71,-73,-75,GD,DD,DD,Very Strong,0.95-0.99
1679,SI2,-76,-76,-76,-76,-76,-76,-74,-71,-72,-76,GD,DD,DD,Very Strong,0.95-0.99
